Time window,Label,Gx: Average,Gy: Average,Gz: Average,Ax: Average,Ay: Average,Az: Average,Gx: Standard deviation,Gy: Standard deviation,Gz: Standard deviation,Ax: Standard deviation,Ay: Standard deviation,Az: Standard deviation
7:46:51 AM,Eat,-143.255,-62.2128,-685.798,4387.681,-13596.4,784.3936,376.0155549,162.4822156,368.3675578,282.4297881,142.3103694,169.1193012
7:46:52 AM,Eat,-27.9655,279.3448,5.974138,4160.94,-13704.2,1127.483,117.8269867,228.8511612,260.9958341,90.71324037,135.9122424,236.4259782
7:46:53 AM,Eat,126.5614,51.27193,81.64035,4290.518,-13613.6,1455.781,173.1159535,167.8082178,202.4974217,182.0769667,162.7275653,182.6410358
7:46:54 AM,Eat,106.7043,22.44348,20.88696,4406.774,-13612.6,1410.913,119.6884093,106.2711024,179.0043009,109.7501198,120.9766322,142.3213294
7:46:55 AM,Eat,92.43363,91.22124,60.70796,4540.894,-13543.2,1475.841,121.1182182,168.2448648,145.2396838,96.05814486,143.4347924,177.9318974
7:46:56 AM,Eat,67.48276,-9.13793,54.7931,4595.733,-13526.2,1489.759,101.6348522,129.6049447,162.4944423,91.14435352,118.0564549,148.178953
7:46:57 AM,Eat,66.04425,45.72566,41.28319,4642.088,-13517.4,1480.673,91.69800876,128.0569243,164.8348453,81.96542798,114.0982143,142.4649984
7:46:58 AM,Eat,68.53448,49.98276,83.65517,4686.974,-13504.3,1484.078,105.773378,159.2114253,161.5140378,88.38536778,112.587127,148.7048522
7:46:59 AM,Eat,47.28155,43.82524,89.15534,4737.495,-13474.7,1504.311,100.2343741,165.1950972,187.5737636,87.2287812,152.2788791,168.654539
11:38:12 AM,Eat,323.6491,96.64912,150.8421,2018.754,-5989.11,-13235.1,773.86081,380.487023,1419.865723,1055.214489,421.9390479,738.0689641
11:38:13 AM,Eat,-143.584,-104.841,-54.3274,1889.327,-6054.28,-13108.7,675.1386462,473.2238704,1018.824134,786.3960226,379.5572249,722.0731547
11:38:14 AM,Eat,-44.9364,-7.79091,53.95455,1320.655,-6111.76,-13204.7,1215.267081,523.2460802,1479.995471,1087.374512,679.6980431,1189.894612
11:38:15 AM,Eat,298.6579,-29.3772,-18.4123,1578.202,-6334.3,-13076.5,903.702618,694.7725341,1233.462719,809.7415537,707.8145341,860.0988128
11:38:16 AM,Eat,-213.946,95.34821,274.7857,1824.696,-5891.45,-13139.4,1356.876772,751.7641439,920.0893457,1357.9371,685.1765188,612.172807
11:38:17 AM,Eat,264.0789,8.04386,265.2193,1831.281,-6075.84,-13149.4,878.7433419,500.732656,1108.389422,791.5121688,500.1843126,711.1816184
21:14:42,Sleep,-69.82352941,-62.41176471,82.50980392,-14326.29412,6080.686275,-3067.784314,395.8095353,283.6779989,237.1752409,323.8820955,153.091148,172.1671645
21:14:43,Sleep,49.02654867,61.7699115,51.05309735,-14398.26549,6024.575221,-2892.274336,270.4283131,405.3666993,248.1343905,218.4948111,217.4506022,168.9300493
21:14:44,Sleep,-11.00892857,111.1339286,42.16071429,-14336.19643,6055.830357,-2882.6875,270.95801,518.3439238,274.8801067,302.7371184,393.1129377,230.2044932
21:14:45,Sleep,81.2300885,39.68141593,49.9380531,-14415.68142,6065.858407,-2768.442478,252.0646179,489.1143101,242.071576,278.2988908,222.0958556,210.2415251
21:14:46,Sleep,34.57407407,89.93518519,68.0462963,-14411.21296,6086.916667,-2781.87037,345.9573255,434.0828611,200.3351577,281.4007702,239.5627296,194.7712818
21:14:47,Sleep,37.07894737,65.48245614,33.07017544,-14416.70175,6065.026316,-2730,214.6122721,259.0147169,132.7739925,250.9014519,170.5559603,155.3612974
21:14:48,Sleep,44.13392857,17.90178571,88.98214286,-14332.09821,6139.723214,-2785.241071,217.0550433,183.4578264,177.0882603,227.0615648,140.8757174,137.9851308
21:14:49,Sleep,108.9646018,50.39823009,29.76106195,-14439.02655,6098.79646,-2759.176991,201.333276,138.4889462,209.3081833,227.9813377,168.0229661,135.4035127
21:14:50,Sleep,8.790909091,-2.681818182,43.61818182,-14325.74545,6094.154545,-2837.672727,215.631528,161.1183354,213.5392872,254.0611945,179.6973596,146.1998198
21:14:51,Sleep,58.84955752,23.44247788,86.99115044,-14383.18584,6106.911504,-2868.292035,265.2133313,170.0207938,228.6288124,250.2141779,172.7551714,146.7744675
21:14:52,Sleep,79.80357143,13.13392857,6.017857143,-14375.36607,6055.392857,-2870.919643,228.2562113,189.2927327,193.1910776,279.9983589,157.2388071,155.9405719
21:14:53,Sleep,19.01769912,-21.84955752,94.30088496,-14291.87611,6094.433628,-2962.902655,271.4890481,249.455379,212.9299384,248.52634,183.0538014,152.2898414
21:14:54,Sleep,79.88495575,23,92.25663717,-14366.41593,6058.362832,-2984.00885,243.1842611,238.523434,235.084171,236.0338855,206.229677,135.4477031
21:14:55,Sleep,-120.0973451,506.3274336,109.1681416,-14353.0708,6095.566372,-2972.40708,260.8781518,642.5548537,269.6102976,275.8537305,204.4281605,158.756813
21:14:56,Sleep,-3045.754545,365.7181818,5331.018182,-11949.84545,10067.88182,-583.0545455,2419.015526,2836.433984,3566.859014,2968.86553,3077.376509,1328.454326
21:14:57,Sleep,674.5309735,1586.283186,-995.7522124,-7788.752212,14535.9823,4160.725664,6161.276214,3550.391516,4437.985922,1898.944427,2106.65419,1974.581345
21:14:58,Sleep,1051.535714,2442.321429,669.8928571,-8375.776786,13684.21429,6014.258929,4139.157855,6149.887189,5566.936237,3893.220531,1508.151362,2711.48956
21:14:59,Sleep,-903.7027027,48.7027027,136.2972973,-9038.387387,12464.74775,8146.333333,4210.656122,4221.040633,3444.265547,2303.904674,2053.745189,2243.390232
21:15:00,Sleep,271.0632911,960.2911392,-308.0632911,-7954.708861,11942.41772,10000.43038,2800.323733,3625.274834,2075.656735,1580.470622,1332.654875,2194.832052
21:15:01,Sleep,419.920354,1100.823009,349.2035398,-8495.115044,11390.27434,10257.71681,3855.224839,2991.870429,2236.04087,2109.674339,1454.683632,1718.631113
21:15:02,Sleep,-750.972973,-1022.369369,481.0990991,-8727.09009,11438.15315,10207.65766,4514.431249,4484.977203,2346.383891,2190.409013,2134.325975,1975.360112
21:15:03,Sleep,-14.02702703,-159.2792793,-143.1711712,-7313.882883,11874.53153,9869.648649,4104.982836,4510.856289,2487.592256,2135.490545,1505.498962,2178.784593
21:15:04,Sleep,127.2342342,1608.855856,827.2972973,-7272.828829,11891.73874,10675.14414,3439.2952,3187.221391,2396.010694,2166.022068,1864.848391,2084.965358
21:15:05,Sleep,795.1315789,-1211.149123,-558.5789474,-8232.991228,11805.88596,10150.79825,4278.038411,3779.806132,2165.66928,1958.327024,1645.849297,2087.810557
21:15:06,Sleep,197.2072072,-2976.846847,-1070.036036,-8387.684685,12538.84685,8797.216216,3250.409893,3735.852095,2577.709857,1342.042792,1036.113272,1909.114533
21:15:07,Sleep,1175.809091,-4323.654545,-1874.390909,-11911.73636,8437.227273,-4537.763636,3962.084162,5821.064079,2329.953376,1346.775358,2523.27491,3375.50956
21:15:08,Sleep,591.699115,1848.221239,-615.3097345,-13126.55752,6848.707965,-5073.017699,1422.372621,1597.896641,1773.093131,799.3562247,765.3035192,721.2008337
21:15:09,Sleep,56.88392857,-62.25892857,-322.6339286,-13332.41964,6968.089286,-4519.651786,773.1354641,704.5365833,451.5877095,579.4622334,557.7546613,491.1557928
21:15:10,Sleep,-117.9122807,-84.36842105,55.54385965,-13564.76316,6452.298246,-4608.833333,744.8197806,561.6840869,274.7820098,379.9741096,316.6085473,327.4675669
21:15:11,Sleep,145.4684685,-104.5585586,140.3153153,-13646.35135,6210.747748,-4669.009009,751.8321479,581.1701157,552.7430108,393.6725831,300.4044385,321.4795482
21:15:12,Sleep,-53.48245614,-190,91.78947368,-13352.57895,6392.824561,-4890.324561,536.7270237,446.7754678,293.6414789,286.0716506,305.3464374,287.295306
21:15:13,Sleep,31.8317757,66.24299065,-76.79439252,-13572.08411,6196.056075,-4754.682243,609.0613329,442.1336313,290.3655386,286.8918711,233.1487432,281.813487
21:15:14,Sleep,40.60526316,162.122807,46.5,-13561.07895,6182.350877,-4837.666667,627.2966528,510.2578064,223.5951323,280.3435359,252.1731033,261.2211509
21:15:15,Sleep,-12.35714286,-20.94642857,86.98214286,-13602.41964,6159.142857,-4660.553571,422.5040297,440.1573396,307.1164636,233.1257109,271.5890462,205.9692463
21:15:16,Sleep,82.67857143,77.5625,25.30357143,-13621.08036,6131.6875,-4698.5625,452.6667572,496.2674697,255.9133031,266.9709347,314.8401863,244.7273085
21:15:17,Sleep,10.02678571,-12.67857143,40.35714286,-13696.6875,6128.375,-4556.017857,430.1156027,420.8115329,241.6472694,218.8030927,274.1499598,199.6469398
21:15:18,Sleep,261.297619,141.8809524,-28.80952381,-13745.83333,5982.488095,-4680.166667,528.9664116,287.0987994,194.9090907,241.7230235,285.2655704,155.8797678
21:15:19,Sleep,-61.67857143,-123.8035714,123.7053571,-13717.17857,6045.535714,-4573.125,396.8529629,366.288589,182.0986585,202.9624833,209.5334555,186.0661572
21:15:20,Sleep,76.64035088,11.71929825,50.46491228,-13683.62281,5908.885965,-4698.008772,510.5638238,430.8315382,258.9654427,311.00657,262.3631125,277.0539865
21:15:21,Sleep,9.258928571,186.5357143,230.0089286,-13643.1875,6162.267857,-4705.446429,504.6706489,522.2473945,348.8418805,237.3264954,321.5959914,306.4745728
21:15:22,Sleep,-46.10619469,491.2920354,-474.1504425,-13439.9469,6251.929204,-4699.353982,437.3920145,985.7220222,627.6700143,542.8528944,417.3572407,481.9156884
21:15:23,Sleep,298.7264151,44.03773585,-160.9150943,-14421.00943,5217.886792,-4123.481132,1192.740083,1374.843249,834.2049665,691.5530279,565.8490851,833.7814174
21:15:24,Sleep,-23.40350877,-41.07894737,750,-13908.92105,5973.561404,-4207.403509,482.1987751,829.9066068,663.524926,434.4688985,519.4998622,355.6173672
21:15:25,Sleep,-188.6306306,-240.1711712,480,-13119.09009,7181.837838,-4544.936937,653.4105201,743.8304043,453.8072078,304.0454975,382.4719251,357.6143499
21:15:26,Sleep,28.59649123,-195.8333333,18.21929825,-13275.77193,7236.201754,-4391.192982,302.9352196,419.516281,228.8473139,209.2086241,237.138516,220.6788752
21:15:27,Sleep,43.72897196,-29.81308411,29.68224299,-13280.85981,6957.925234,-4573.841121,174.0425328,240.6419532,145.0219631,145.8623316,216.7521278,140.9238487
21:15:28,Sleep,25.99115044,-49.05309735,-15.75221239,-13388.69027,6811.380531,-4577.486726,258.1067227,280.8374861,250.6180764,181.9296901,216.0258879,167.2832347
21:15:29,Sleep,37.19469027,58.15929204,26.71681416,-13403.79646,6799.884956,-4599.309735,533.5105076,357.3257959,211.3057394,278.8500352,227.973673,190.3887039
21:15:30,Sleep,154.4054054,-31.31531532,230.5495495,-13423.95495,6837.603604,-4649.621622,504.4052371,456.0653857,253.7528052,250.6657821,638.6146267,359.5645613
21:15:31,Sleep,-581.027027,1320.315315,867.3333333,-12189.36937,9137.720721,-4198.990991,4104.881266,4799.636316,2240.238349,1995.676499,2319.071892,2778.194507
