Time window,Label,Ax: Average,Ay: Average,Az: Average,Ax: Standard deviation,Gy.3:FFT,Gy.1:FFT,Gy.2:FFT,Az: Standard deviation,Gx: Standard deviation,Gy: Standard deviation,Gy: Average,Gz: Average,Gx.3:FFT,Gz.1:FFT,Gz.2:FFT
7:45:03 AM,Eat,1473.632,-6843.46,-12815.5,872.4326204,86.3864923,631.42,589.8284315,699.21996,1181.350725,645.1890646,460.6754,315.8158,428.7310565,197.2,421.9557329
7:45:04 AM,Eat,1979.661,-6930.62,-12684.1,1078.419185,1069.405614,447.3,124.9899442,700.9266176,1015.444266,443.4044102,-350.42,218.4554,1291.518642,25.86,358.4461335
7:45:05 AM,Eat,2286.938,-7485.19,-12313.3,1432.69188,189.8065442,44.22,240.4265173,762.5508036,1232.762772,683.7474876,4.522124,150.1416,445.42674,170.48,408.4528151
7:45:06 AM,Eat,1754.8,-7330.82,-12561.2,633.8691267,343.174221,168.1,369.440609,927.738062,928.9100855,803.596111,355.7364,-9.72727,15.74644821,718.68,454.1690802
7:45:07 AM,Eat,1431.278,-7015.44,-12761.2,795.3861794,71.69410476,116.64,113.310233,708.4274603,1400.574368,726.9055837,-268.537,-4.99074,391.3136566,1383.92,482.8053728
7:45:08 AM,Eat,1596.387,-7381.18,-12532.1,724.8663723,9.90E+01,6.76E+02,2.08E+02,604.2646373,973.8747248,560.9807559,17.58559,-89.045,149.9271219,164.06,223.528995
7:45:09 AM,Eat,1840.14,-7441.97,-12525.3,555.4615156,90.50173193,83.96,91.7092658,779.9498023,882.8540195,501.7809505,-85.33,369.56,43.27298021,155.56,137.6089074
7:46:51 AM,Eat,4387.681,-13596.4,784.3936,282.4297881,63.32319532,52.56,110.9820189,169.1193012,376.0155549,162.4822156,-62.2128,-685.798,69.57565707,56.92,99.21196688
7:46:52 AM,Eat,4160.94,-13704.2,1127.483,90.71324037,82.57540326,208.64,186.269468,236.4259782,117.8269867,228.8511612,279.3448,5.974138,6.05E+01,147.26,130.0476971
7:46:53 AM,Eat,4290.518,-13613.6,1455.781,182.0769667,50.18079518,1.84,131.791386,182.6410358,173.1159535,167.8082178,51.27193,81.64035,43.33462505,97.5,139.2111097
7:46:54 AM,Eat,4406.774,-13612.6,1410.913,109.7501198,40.9094638,93.68,69.46604802,142.3213294,119.6884093,106.2711024,22.44348,20.88696,29.86160333,87.4,113.5002035
7:46:55 AM,Eat,4540.894,-13543.2,1475.841,96.05814486,53.1457573,127.02,161.5292117,177.9318974,121.1182182,168.2448648,91.22124,60.70796,64.30032506,198.6,142.6967288
7:46:56 AM,Eat,4595.733,-13526.2,1489.759,91.14435352,39.53553047,70.62,109.9790836,148.178953,101.6348522,129.6049447,-9.13793,54.7931,73.39082753,170.72,132.1828592
7:46:57 AM,Eat,4642.088,-13517.4,1480.673,81.96542798,191.8417353,36.76,301.7783659,142.4649984,91.69800876,128.0569243,45.72566,41.28319,583.1758227,160.02,341.3221872
7:46:58 AM,Eat,4686.974,-13504.3,1484.078,88.38536778,620.7025245,44.46,321.9184277,148.7048522,105.773378,159.2114253,49.98276,83.65517,513.6723162,78.78,496.5734489
7:46:59 AM,Eat,4737.495,-13474.7,1504.311,87.2287812,491.1837103,469.8,317.567334,168.654539,100.2343741,165.1950972,43.82524,89.15534,459.0916428,289.08,480.2724945
11:38:12 AM,Eat,2018.754,-5989.11,-13235.1,1055.214489,255.4986469,971.46,651.0152913,738.0689641,773.86081,380.487023,96.64912,150.8421,314.0408203,427.3,792.5466154
11:38:13 AM,Eat,1889.327,-6054.28,-13108.7,786.3960226,3.86E+02,3.79E+02,5.49E+02,722.0731547,675.1386462,473.2238704,-104.841,-54.3274,571.750512,4.59E+02,3.02E+02
11:38:14 AM,Eat,1320.655,-6111.76,-13204.7,1087.374512,450.8075385,143.84,280.3172446,1189.894612,1215.267081,523.2460802,-7.79091,53.95455,319.3279684,1263.14,504.6795943
11:38:15 AM,Eat,1578.202,-6334.3,-13076.5,809.7415537,770.9486862,63.68,252.682415,860.0988128,903.702618,694.7725341,-29.3772,-18.4123,77.42773249,490.76,358.8632417
11:38:16 AM,Eat,1824.696,-5891.45,-13139.4,1357.9371,531.5436612,271.18,121.9693948,612.172807,1356.876772,751.7641439,95.34821,274.7857,264.6001156,180.82,472.0105266
11:38:17 AM,Eat,1831.281,-6075.84,-13149.4,791.5121688,908.1681796,179.6,722.3149408,711.1816184,878.7433419,500.732656,8.04386,265.2193,702.9916273,790.6,797.1841416
21:14:42,Sleep,-14326.29412,6080.686275,-3067.784314,323.8820955,109.1098689,64.92,129.4200113,172.1671645,395.8095353,283.6779989,-62.41176471,82.50980392,173.7743376,79.94,142.5337773
21:14:43,Sleep,-14398.26549,6024.575221,-2892.274336,218.4948111,198.9484164,149.54,212.065738,168.9300493,270.4283131,405.3666993,61.7699115,51.05309735,221.9838353,107.86,184.5184847
21:14:44,Sleep,-14336.19643,6055.830357,-2882.6875,302.7371184,253.4992494,239.9,182.8936568,230.2044932,270.95801,518.3439238,111.1339286,42.16071429,302.6438056,104.68,223.2667216
21:14:45,Sleep,-14415.68142,6065.858407,-2768.442478,278.2988908,165.3514886,86.08,149.8627837,210.2415251,252.0646179,489.1143101,39.68141593,49.9380531,60.67619644,116.7,107.9392736
21:14:46,Sleep,-14411.21296,6086.916667,-2781.87037,281.4007702,386.2741287,206.58,251.3563695,194.7712818,345.9573255,434.0828611,89.93518519,68.0462963,241.1611325,137.78,64.91017372
21:14:47,Sleep,-14416.70175,6065.026316,-2730,250.9014519,126.1067924,130.94,175.5805825,155.3612974,214.6122721,259.0147169,65.48245614,33.07017544,248.4063721,79.04,97.62473486
21:14:48,Sleep,-14332.09821,6139.723214,-2785.241071,227.0615648,151.2327803,47.2,80.35076949,137.9851308,217.0550433,183.4578264,17.90178571,88.98214286,244.6769305,201.44,158.5810919
21:14:49,Sleep,-14439.02655,6098.79646,-2759.176991,227.9813377,126.4450341,111.86,95.7353227,135.4035127,201.333276,138.4889462,50.39823009,29.76106195,190.5692859,57.62,147.0543157
21:14:50,Sleep,-14325.74545,6094.154545,-2837.672727,254.0611945,108.2658298,2.22,91.98387237,146.1998198,215.631528,161.1183354,-2.681818182,43.61818182,245.0470465,107.8,127.2020009
21:14:51,Sleep,-14383.18584,6106.911504,-2868.292035,250.2141779,113.260478,59.58,63.4499617,146.7744675,265.2133313,170.0207938,23.44247788,86.99115044,309.5076708,188.16,153.8374337
21:14:52,Sleep,-14375.36607,6055.392857,-2870.919643,279.9983589,69.76377874,19.84,31.46897078,155.9405719,228.2562113,189.2927327,13.13392857,6.017857143,274.3052134,14.86,191.0708653
21:14:53,Sleep,-14291.87611,6094.433628,-2962.902655,248.52634,34.79935965,55.76,16.60266012,152.2898414,271.4890481,249.455379,-21.84955752,94.30088496,308.9615981,220.84,101.9238184
21:14:54,Sleep,-14366.41593,6058.362832,-2984.00885,236.0338855,56.49531062,57.56,52.67212215,135.4477031,243.1842611,238.523434,23,92.25663717,305.0053494,198.98,138.7041922
21:14:55,Sleep,-14353.0708,6095.566372,-2972.40708,275.8537305,528.1613738,1111.94,671.9029205,158.756813,260.8781518,642.5548537,506.3274336,109.1681416,218.2310977,227.58,150.4419889
21:14:56,Sleep,-11949.84545,10067.88182,-583.0545455,2968.86553,522.8451998,735.94,3617.247977,1328.454326,2419.015526,2836.433984,365.7181818,5331.018182,2488.104726,11867.46,4329.279106
21:14:57,Sleep,-7788.752212,14535.9823,4160.725664,1898.944427,50.81531577,3572.84,4032.661078,1974.581345,6161.276214,3550.391516,1586.283186,-995.7522124,2789.997873,2265.94,3198.579452
21:14:58,Sleep,-8375.776786,13684.21429,6014.258929,3893.220531,6376.008693,5475.8,5037.888153,2711.48956,4139.157855,6149.887189,2442.321429,669.8928571,1731.513248,1498.98,4554.957391
21:14:59,Sleep,-9038.387387,12464.74775,8146.333333,2303.904674,1491.746509,116.72,3847.833125,2243.390232,4210.656122,4221.040633,48.7027027,136.2972973,2478.251445,209.46,816.1668733
21:15:00,Sleep,-7954.708861,11942.41772,10000.43038,1580.470622,1370.686576,1587.36,2030.346717,2194.832052,2800.323733,3625.274834,960.2911392,-308.0632911,1749.423951,5.20E+02,8.56E+02
21:15:01,Sleep,-8495.115044,11390.27434,10257.71681,2109.674339,2.01E+03,2.52E+03,3.74E+03,1718.631113,3855.224839,2991.870429,1100.823009,349.2035398,1985.641379,823.32,472.7692021
21:15:02,Sleep,-8727.09009,11438.15315,10207.65766,2190.409013,658.9294083,2201.3,5690.21052,1975.360112,4514.431249,4484.977203,-1022.369369,481.0990991,2927.657135,1067.58,1978.027693
21:15:03,Sleep,-7313.882883,11874.53153,9869.648649,2135.490545,3163.996609,496.44,5665.591416,2178.784593,4104.982836,4510.856289,-159.2792793,-143.1711712,2745.432618,275.12,1455.57045
21:15:04,Sleep,-7272.828829,11891.73874,10675.14414,2166.022068,1528.07074,3587,2886.59809,2084.965358,3439.2952,3187.221391,1608.855856,827.2972973,2341.424938,1843.14,362.0059192
21:15:05,Sleep,-8232.991228,11805.88596,10150.79825,1958.327024,2264.775384,2608.1,4580.192475,2087.810557,4278.038411,3779.806132,-1211.149123,-558.5789474,3442.475409,1392.08,1497.97976
21:15:06,Sleep,-8387.684685,12538.84685,8797.216216,1342.042792,2309.01409,6461.96,4862.817356,1909.114533,3250.409893,3735.852095,-2976.846847,-1070.036036,2726.932521,2203.5,2930.402678
21:15:07,Sleep,-11911.73636,8437.227273,-4537.763636,1346.775358,4841.231518,9766.48,6169.248462,3375.50956,3962.084162,5821.064079,-4323.654545,-1874.390909,4886.780471,4199.56,1903.778769
21:15:08,Sleep,-13126.55752,6848.707965,-5073.017699,799.3562247,1.27E+03,4.17E+03,1.42E+03,721.2008337,1422.372621,1597.896641,1848.221239,-615.3097345,881.6157393,1408.48,2625.272086
21:15:09,Sleep,-13332.41964,6968.089286,-4519.651786,579.4622334,310.6019671,136.02,208.7556689,491.1557928,773.1354641,704.5365833,-62.25892857,-322.6339286,292.5749443,526.34,397.8852025
21:15:10,Sleep,-13564.76316,6452.298246,-4608.833333,379.9741096,377.8508449,179.72,404.7084984,327.4675669,744.8197806,561.6840869,-84.36842105,55.54385965,412.4313244,81.2,430.6100746
21:15:11,Sleep,-13646.35135,6210.747748,-4669.009009,393.6725831,362.5871843,211.48,288.2634791,321.4795482,751.8321479,581.1701157,-104.5585586,140.3153153,524.9688234,290.78,700.1437583
21:15:12,Sleep,-13352.57895,6392.824561,-4890.324561,286.0716506,189.1480799,441,333.7272178,287.295306,536.7270237,446.7754678,-190,91.78947368,476.6292941,219.86,248.098932
21:15:13,Sleep,-13572.08411,6196.056075,-4754.682243,286.8918711,146.2532505,132.76,271.1500681,281.813487,609.0613329,442.1336313,66.24299065,-76.79439252,397.6203824,160.34,195.1403641
21:15:14,Sleep,-13561.07895,6182.350877,-4837.666667,280.3435359,379.7374884,374.3,173.557969,261.2211509,627.2966528,510.2578064,162.122807,46.5,435.1477886,48.64,165.5504212
21:15:15,Sleep,-13602.41964,6159.142857,-4660.553571,233.1257109,245.8818767,35.42,86.07124578,205.9692463,422.5040297,440.1573396,-20.94642857,86.98214286,1.80E+02,181.48,281.6624836
21:15:16,Sleep,-13621.08036,6131.6875,-4698.5625,266.9709347,274.2143191,150.12,242.2170653,244.7273085,452.6667572,496.2674697,77.5625,25.30357143,332.8896174,74.1,218.8943034
21:15:17,Sleep,-13696.6875,6128.375,-4556.017857,218.8030927,144.1956126,10.56,174.3872885,199.6469398,430.1156027,420.8115329,-12.67857143,40.35714286,171.8513071,79.6,170.2342142
21:15:18,Sleep,-13745.83333,5982.488095,-4680.166667,241.7230235,21.20374452,223.44,15.50680269,155.8797678,528.9664116,287.0987994,141.8809524,-28.80952381,351.6390193,44.38,76.14410799
21:15:19,Sleep,-13717.17857,6045.535714,-4573.125,202.9624833,285.5448075,276.28,191.1481681,186.0661572,396.8529629,366.288589,-123.8035714,123.7053571,157.2888722,279.84,144.2465496
21:15:20,Sleep,-13683.62281,5908.885965,-4698.008772,311.00657,234.3264169,25.06,111.8506638,277.0539865,510.5638238,430.8315382,11.71929825,50.46491228,45.93985982,119.28,66.04133045
21:15:21,Sleep,-13643.1875,6162.267857,-4705.446429,237.3264954,205.6011435,422.18,402.6709234,306.4745728,504.6706489,522.2473945,186.5357143,230.0089286,96.92991996,497.64,20.74116118
21:15:22,Sleep,-13439.9469,6251.929204,-4699.353982,542.8528944,624.2344976,1054.98,820.2403834,481.9156884,437.3920145,985.7220222,491.2920354,-474.1504425,201.9283232,1034.64,820.1904561
21:15:23,Sleep,-14421.00943,5217.886792,-4123.481132,691.5530279,842.6799276,146.54,1057.56963,833.7814174,1192.740083,1374.843249,44.03773585,-160.9150943,847.6662792,383.7,742.8259104
21:15:24,Sleep,-13908.92105,5973.561404,-4207.403509,434.4688985,326.4394566,41.22,937.2374155,355.6173672,482.1987751,829.9066068,-41.07894737,750,197.7842291,1.67E+03,9.81E+02
21:15:25,Sleep,-13119.09009,7181.837838,-4544.936937,304.0454975,333.4154121,583.66,709.8558293,357.6143499,653.4105201,743.8304043,-240.1711712,480,685.7530467,1123.6,572.7723429
21:15:26,Sleep,-13275.77193,7236.201754,-4391.192982,209.2086241,367.206484,428.26,246.3645087,220.6788752,302.9352196,419.516281,-195.8333333,18.21929825,290.1137141,34.92,80.68873509
21:15:27,Sleep,-13280.85981,6957.925234,-4573.841121,145.8623316,160.2005052,66.8,187.4649896,140.9238487,174.0425328,240.6419532,-29.81308411,29.68224299,35.88033739,63.62,141.7655129
21:15:28,Sleep,-13388.69027,6811.380531,-4577.486726,181.9296901,183.0149599,120.04,182.6708586,167.2832347,258.1067227,280.8374861,-49.05309735,-15.75221239,61.01351025,26,299.9512707
21:15:29,Sleep,-13403.79646,6799.884956,-4599.309735,278.8500352,66.22159277,123.14,228.8686242,190.3887039,533.5105076,357.3257959,58.15929204,26.71681416,2.08E+02,58.48,241.6769789
21:15:30,Sleep,-13423.95495,6837.603604,-4649.621622,250.6657821,269.4315576,102.44,420.692488,359.5645613,504.4052371,456.0653857,-31.31531532,230.5495495,310.1132982,504.7,111.3116592
21:15:31,Sleep,-12189.36937,9137.720721,-4198.990991,1995.676499,4.15E+03,2.90E+03,4.69E+03,2778.194507,4104.881266,4799.636316,1320.315315,867.3333333,3.31E+03,1917.52,1978.359442
